Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
4.82,4.7014095e-05,13605.031
4.83,4.578594e-05,13522.339
4.84,4.4651097e-05,13439.552
4.85,4.3624277e-05,13356.975
4.86,4.2714793e-05,13274.875
4.87,4.1926814e-05,13193.48
4.88,4.125978e-05,13112.966
4.89,4.0709016e-05,13033.452
4.9,4.026645e-05,12955.007
4.91,3.992136e-05,12877.6455
4.92,3.9661183e-05,12801.339
4.93,3.9472267e-05,12726.021
4.94,3.9340553e-05,12651.595
4.95,3.9252227e-05,12577.942
4.96,3.91942e-05,12504.937
4.97,3.915453e-05,12432.444
4.98,3.912269e-05,12360.338
4.99,3.908975e-05,12288.501
5,3.9048464e-05,12216.833
5.01,3.899322e-05,12145.249
5.02,3.8920007e-05,12073.689
5.03,3.88262e-05,12002.112
5.04,3.8710434e-05,11930.496
5.05,3.857237e-05,11858.841
5.06,3.8412487e-05,11787.16
5.07,3.8231898e-05,11715.481
5.08,3.8032125e-05,11643.843
5.09,3.781496e-05,11572.289
5.1,3.758231e-05,11500.867
5.11,3.73361e-05,11429.627
5.12,3.709916e-05,11360.148
5.13,3.748203e-05,11323.752
5.14,4.1125488e-05,11419.17
5.15,5.2131843e-05,11752.457
5.16,7.329945e-05,12352.966
5.17,0.00010417328,13160.9
5.18,0.00014129409,14071.643
5.19,0.00017979629,14983.534
5.2,0.00021501453,15822.146
5.21,0.00024342853,16543.818
5.22,0.00026298699,17131.477
5.23,0.0002731095,17589.965
5.24,0.00027442366,17936.53
5.25,0.00026830073,18189.834
5.26,0.00025639133,18363.287
5.27,0.00024029816,18463.73
5.28,0.00022141862,18493.805
5.29,0.00020091496,18455.502
5.3,0.0001797468,18353.086
5.31,0.00015871499,18194.543
5.32,0.00013849164,17991.563
5.33,0.00011963221,17758.512
5.34,0.00010257577,17510.885
5.35,8.7640765e-05,17263.697
5.36,7.502188e-05,17030.107
5.37,6.4790736e-05,16820.445
