Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
9.08,3.9446702e-05,12104.324
9.09,3.9226583e-05,12029.774
9.1,3.898977e-05,11955.359
9.11,3.8738366e-05,11881.138
9.12,3.850755e-05,11809.124
9.13,3.8788785e-05,11763.322
9.14,4.165027e-05,11823.872
9.15,5.0957555e-05,12101.47
9.16,6.999544e-05,12646.94
9.17,9.905008e-05,13417.123
9.18,0.00013519438,14312.278
9.19,0.00017371647,15226.25
9.2,0.00020976501,16077.12
9.21,0.00023951253,16815.398
9.22,0.00026061438,17420.012
9.23,0.0002722781,17893.451
9.24,0.00027498545,18252.377
9.25,0.00027001943,18515.98
9.26,0.00025901492,18698.902
9.27,0.000243597,18808.77
9.28,0.00022519194,18848.479
9.29,0.00020501402,18819.809
9.3,0.00018401678,18726.44
9.31,0.00016300299,18575.352
9.32,0.00014268752,18377.713
9.33,0.00012365176,18147.822
9.34,0.00010632328,17900.154
9.35,9.105135e-05,17650.025
9.36,7.805961e-05,17411.264
9.37,6.744064e-05,17194.75
9.38,5.9169502e-05,17008.072
9.39,5.3102933e-05,16855.418
9.4,4.9018836e-05,16737.443
9.41,4.663595e-05,16652.334
9.42,4.566063e-05,16596.785
9.43,4.5748915e-05,16565.857
9.44,4.6562018e-05,16553.727
9.45,4.7797424e-05,16554.324
9.46,4.9198276e-05,16561.854
9.47,5.056443e-05,16571.08
9.48,5.1759922e-05,16577.588
9.49,5.2705058e-05,16577.828
9.5,5.3368858e-05,16569.143
9.51,5.376214e-05,16549.777
9.52,5.3921496e-05,16518.7
9.53,5.3905304e-05,16475.668
9.54,5.3782962e-05,16421.094
9.55,5.3626278e-05,16355.958
9.56,5.3501226e-05,16281.684
9.57,5.346318e-05,16199.935
9.58,5.355333e-05,16112.534
9.59,5.3796957e-05,16021.339
9.6,5.4201722e-05,15928.119
9.61,5.475818e-05,15834.442
9.62,5.5442513e-05,15741.59
9.63,5.6221037e-05,15650.575
9.64,5.705039e-05,15562.062
9.65,5.78829e-05,15476.431
9.66,5.8669088e-05,15393.783
9.67,5.936054e-05,15313.958
9.68,5.991327e-05,15236.587
9.69,6.0290262e-05,15161.16
9.7,6.046252e-05,15087.089
9.71,6.0411785e-05,15013.73
9.72,6.0130755e-05,14940.454
9.73,5.96227e-05,14866.696
9.74,5.89037e-05,14792.035
9.75,5.7993086e-05,14716.102
9.76,5.6915353e-05,14638.628
9.77,5.5703957e-05,14559.519
9.78,5.439158e-05,14478.696
9.79,5.3017142e-05,14396.286
9.8,5.16168e-05,14312.483
9.81,5.0226474e-05,14227.489
9.82,4.8878574e-05,14141.644
9.83,4.7600934e-05,14055.273
9.84,4.641686e-05,13968.753
9.85,4.5342196e-05,13882.412
9.86,4.4387758e-05,13796.546
9.87,4.3558357e-05,13711.41
9.88,4.2853928e-05,13627.188
9.89,4.227022e-05,13544.016
9.9,4.179877e-05,13461.966
9.91,4.1428968e-05,13381.0625
9.92,4.114782e-05,13301.277
9.93,4.0941388e-05,13222.542
9.94,4.079535e-05,13144.76
9.95,4.0695497e-05,13067.809
9.96,4.062837e-05,12991.557
9.97,4.0581475e-05,12915.866
9.98,4.0543808e-05,12840.605
9.99,4.0506053e-05,12765.649
10,4.0460563e-05,12690.891
10.01,4.0398896e-05,12616.246
10.02,4.031932e-05,12541.631
10.03,4.022101e-05,12467.014
10.04,4.010117e-05,12392.377
10.05,3.9959315e-05,12317.72
10.06,3.9795686e-05,12243.052
10.07,3.96109e-05,12168.393
10.08,3.940643e-05,12093.779
10.09,3.918387e-05,12019.25
10.1,3.8945287e-05,11944.855
10.11,3.8693022e-05,11870.67
10.12,3.8470054e-05,11799.128
10.13,3.881246e-05,11756.041
10.14,4.18622e-05,11823.365
10.15,5.150369e-05,12110.917
10.16,7.0955546e-05,12666.902
10.17,0.000100399106,13445.782
10.18,0.00013684026,14346.788
10.19,0.0001754881,15263.782
10.2,0.00021152149,16116.317
10.21,0.00024117639,16855.725
10.22,0.0002621555,17461.17
10.23,0.0002736653,17934.86
10.24,0.00027616858,18293.168
10.25,0.00027098414,18555.803
10.26,0.00025977008,18737.385
10.27,0.00024415503,18845.55
10.28,0.0002255716,18883.252
10.29,0.00020523762,18852.354
10.3,0.00018409749,18756.59
10.31,0.00016296837,18603.125
10.32,0.00014259267,18404.08
10.33,0.00012349639,18172.742
10.34,0.00010613097,17924.217
10.35,9.082412e-05,17672.908
10.36,7.780907e-05,17432.994
10.37,6.7183384e-05,17215.627
10.38,5.8921025e-05,17028.463
10.39,5.288811e-05,16875.652
10.4,4.886439e-05,16758.213
10.41,4.6557623e-05,16674.238
10.42,4.563812e-05,16619.879
10.43,4.5750567e-05,16589.73
10.44,4.655736e-05,16577.738
10.45,4.7785026e-05,16578.316
10.46,4.919965e-05,16586.088
10.47,5.0596343e-05,16595.828
10.48,5.1822855e-05,16602.9
10.49,5.279118e-05,16603.617
10.5,5.3467636e-05,16595.248
10.51,5.3861513e-05,16575.973
10.52,5.4010758e-05,16544.717
10.53,5.3979602e-05,16501.29
10.54,5.384413e-05,16446.219
10.55,5.367946e-05,16380.563
10.56,5.3552027e-05,16305.755
10.57,5.351617e-05,16223.49
10.58,5.361188e-05,16135.614
10.59,5.386311e-05,16044.007
