environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
4.23,17220.1,0.000269547
4.24,17557.3,0.000270296
4.25,17804,0.000263833
4.26,17972.7,0.000251789
4.27,18069.6,0.000235726
4.28,18097.2,0.000217002
4.29,18057.3,0.000196742
4.3,17954.6,0.000175879
4.31,17797,0.000155192
4.32,17596.5,0.000135336
4.33,17367.3,0.000116852
4.34,17124.7,0.000100165
4.35,16883.4,8.55826e-5
4.36,16656.3,7.32882e-5
4.37,16453.3,6.33451e-5
4.38,16281,5.57021e-5
4.39,16142.7,5.02058e-5
4.4,16038.6,4.66202e-5
4.41,15966.6,4.46495e-5
4.42,15922.3,4.39647e-5
4.43,15900.7,4.42298e-5
4.44,15895.9,4.51258e-5
4.45,15902,4.63696e-5
4.46,15913.6,4.7727e-5
4.47,15925.7,4.90202e-5
4.48,15934.2,5.01283e-5
4.49,15935.7,5.09841e-5
4.5,15928,5.1567e-5
4.51,15909.3,5.18936e-5
4.52,15878.9,5.20077e-5
4.53,15836.7,5.19703e-5
4.54,15783.4,5.185e-5
4.55,15720,5.17155e-5
4.56,15648,5.16286e-5
4.57,15569.1,5.16398e-5
4.58,15485,5.17846e-5
4.59,15397.6,5.20826e-5
4.6,15308.6,5.25368e-5
4.61,15219.4,5.31349e-5
4.62,15131.2,5.38509e-5
4.63,15045.1,5.46482e-5
4.64,14961.4,5.54826e-5
4.65,14880.6,5.6306e-5
4.66,14802.7,5.70692e-5
4.67,14727.3,5.77257e-5
4.68,14654.3,5.8234e-5
4.69,14582.9,5.85604e-5
4.7,14512.6,5.868e-5
4.71,14442.9,5.85779e-5
4.72,14373.1,5.82497e-5
4.73,14302.6,5.77006e-5
4.74,14231.2,5.69454e-5
4.75,14158.3,5.60062e-5
4.76,14083.9,5.49118e-5
4.77,14007.9,5.3695e-5
4.78,13930.2,5.23916e-5
4.79,13851,5.1038e-5
4.8,13770.5,4.96697e-5
4.81,13688.9,4.832e-5
4.82,13606.7,4.70183e-5
4.83,13524,4.57899e-5
4.84,13441.2,4.46549e-5
4.85,13358.6,4.3628e-5
4.86,13276.5,4.27184e-5
4.87,13195,4.19304e-5
4.88,13114.5,4.12634e-5
4.89,13035,4.07127e-5
4.9,12956.5,4.02702e-5
4.91,12879.2,3.99252e-5
4.92,12802.9,3.96651e-5
4.93,12727.5,3.94763e-5
